class	bremen.HDPE	bremen.wood	bremen.tw	brake.HDPE	brake.wood	brake.tw	bremerhaven.HDPE	bremerhaven.wood	bremerhaven.tw	helgolandS.HDPE	helgolandS.wood	helgolandS.tw	helgolandT.HDPE	helgolandT.wood	helgolandT.tw	bremen.water3	bremen.water02	helgolandS.water3	helgolandS.water02	brake.water3	brake.water02	bremerhaven.water3	bremerhaven.water02	helgolandT.water3	helgolandT.water02
Chlamydiae	0.148662042	0.008259002	0.016518005	0.016518005	0.008259002	0	0.057813016	0.008259002	0.008259002	0	0.057813016	0.024777007	0	0.049554014	0	0.012388503	0.004129501	0	0	0.156921044	0.305583086	0.173439049	0.235381566	0.028906508	0
Chloroflexia	0.553353155	1.693095474	0.660720185	0.56987116	0.652461183	0.132144037	0.338619095	0.008259002	0.123885035	0	0	0	0.008259002	0	0	0.21473406	0.916749257	0	0	0.090849025	0.045424513	0.004129501	0	0.008259002	0
Cloacimonadia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0.004129501	0
Clostridia	0.049554014	0	0	0.074331021	0	0	0.132144037	0	0	0.008259002	0.016518005	0	0.024777007	0	0	0.161050545	0.004129501	0.75156921	0.008259002	0.623554675	0.020647506	0.012388503	0	0.276676577	0.004129501
Coriobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0	0	0	0.057813016	0	0.028906508	0	0	0
Dadabacteriia	0	0	0	0	0	0	0	0	0	0.123885035	0.008259002	0.024777007	0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoidia	0.033036009	0	0	0.057813016	0	0	0.016518005	0	0	0	0	0	0	0	0	0	0	0	0	0.189957053	0.028906508	0.094978527	0.297324083	0.057813016	0.094978527
Deinococci	1.015857284	0.024777007	0.090849025	1.734390486	0.099108028	0.041295012	2.989758837	0.033036009	0.132144037	1.453584407	0.041295012	0.057813016	4.765444334	0.099108028	0.611166171	0	0	0.445986125	0	0.123885035	0.004129501	0.10736703	0	2.543772712	0.012388503
Deltaproteobacteria	2.031714569	5.409646515	6.516352825	2.634621738	8.473736373	4.889329369	0.842418236	0.668979187	0.958044268	2.808060786	1.990419557	1.75090849	1.123224315	1.833498513	0.421209118	1.668318467	0.507928642	2.510736703	0.024777007	2.758506772	1.329699372	5.938222663	1.647670961	3.092996366	0.276676577
Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012388503	0.041295012	0	0	0	0
Erysipelotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028906508	0.045424513	0	0	0.045424513	0.165180046	0	0.004129501	0.004129501	0
Fibrobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033036009	0	0	0	0	0.012388503	0.07020152	0.012388503
Fimbriimonadia	0.148662042	0.099108028	0.099108028	0.057813016	0.033036009	0.008259002	0.024777007	0	0	0	0	0	0	0	0	0.028906508	0.004129501	0	0	0.07020152	0	0	0	0	0
Fusobacteriia	0	0	0.008259002	0	0	0	0	0	0	0.041295012	0	0.016518005	0	0	0	0	0.004129501	0.330360093	0.016518005	0	0	0.004129501	0	0.512058143	0.012388503
Gammaproteobacteria	17.19524281	27.56854972	56.91278494	15.82424843	27.57680872	75.57813016	12.1572514	10.07598282	60.53848695	17.89725801	10.81929303	63.28047572	17.4925669	13.87512389	57.74694417	24.87611497	12.91295012	20.05285761	11.82689131	19.37561943	12.47109349	29.9843079	19.644037	29.24099769	31.0662372
Gemmatimonadetes	1.808721506	0.008259002	0.024777007	1.767426495	0	0.016518005	1.205814338	0	0.008259002	0	0	0	0.008259002	0.016518005	0	0.256029072	0	0	0	0.842418236	0.474892633	0.165180046	0	0.078460522	0
Gracilibacteria	0.033036009	0.206475058	0.008259002	0	0.016518005	0.008259002	0	0	0	0.148662042	0	0.016518005	0.123885035	0.016518005	0	0.020647506	0.016518005	0.46250413	0.024777007	0.078460522	0.082590023	0.012388503	0.132144037	0.045424513	0.020647506
Holophagae	0.024777007	0	0.008259002	0.049554014	0	0.024777007	0.008259002	0	0.033036009	0.024777007	0.033036009	0.074331021	0.016518005	0.082590023	0.024777007	0.020647506	0	0	0	0.061942517	0	0.061942517	0	0	0
Hydrogenedentia	0	0	0.024777007	0.016518005	0	0.024777007	0.024777007	0	0.024777007	0	0	0	0	0.008259002	0	0.004129501	0	0	0	0.024777007	0	0	0	0.049554014	0
Ignavibacteria	0.099108028	0	0	0.140403039	0	0.008259002	0.099108028	0.016518005	0	0	0	0	0	0	0	1.837628015	0.664849686	0	0	0.441856624	0.42946812	0.066072019	0.078460522	0.008259002	0
JG30-KF-CM66	0.024777007	0	0	0.148662042	0	0	0.041295012	0	0	0.016518005	0	0	0	0.008259002	0.008259002	0	0	0.016518005	0	0.598777668	0.028906508	0.074331021	0.004129501	0	0
JS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0	0	0
Kazania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0.004129501	0	0
KD4-96	0.445986125	0.024777007	0	0.602907169	0.016518005	0	0.388173109	0.024777007	0.008259002	0.024777007	0.024777007	0	0.033036009	0.049554014	0.016518005	0.433597621	0	0.041295012	0	1.932606541	0	0.507928642	0.004129501	0.094978527	0
Kiritimatiellae	0.008259002	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0.057813016	0	0.346878097	0.008259002	0.371655104	0.078460522	0.491410638	0.008259002	0.384043608	0.016518005
Latescibacteria	0	0	0	0.024777007	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0.016518005	0
Latescibacteria class wb1 H11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03716551	0	0.012388503	0	0	0
Lentisphaeria	0	0	0	0	0	0	0.008259002	0	0	0.016518005	0	0	0.024777007	0	0.041295012	0	0	0.115626032	0.008259002	0	0	0	0	0.016518005	0
Leptospirae	0	0	0.082590023	0	0	0.074331021	0.008259002	0	0.066072019	0	0	0.264288074	0	0.033036009	0.066072019	0	0.078460522	0	0	0	0.008259002	0	0	0	0
Lineage IIb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012388503	0.020647506	0	0	0	0
Lineage IIc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0	0	0	0
Longimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028906508	0
MB-A2-108	0	0	0	0.016518005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17756855	0	0.045424513	0	0	0
MB13C05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016518005	0.07020152
Melainabacteria	0.082590023	0.008259002	0	0.024777007	0	0.033036009	0.016518005	0	0.041295012	0.016518005	0	0	0	0	0	0	0.008259002	0	0	0.012388503	0.074331021	0	0.03716551	0	0
Moduliflexia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0
Mollicutes	0.008259002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0.008259002	0.148662042	0	0.008259002	0	0.004129501	0.012388503	0.024777007	0
Negativicutes	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016518005	0
Nitriliruptoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033036009	0	0
Nitrospinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0.028906508	0.045424513	0	0
Nitrospira	4.079947142	0	0.016518005	5.384869508	0.074331021	0.082590023	3.254046911	0.057813016	0.041295012	0.033036009	0	0.008259002	0.289065081	0.057813016	0.016518005	0.103237529	0	0	0	0.623554675	0.004129501	0.152791543	0	0.008259002	0
OLB14	0.008259002	0	0	0.066072019	0	0	0.066072019	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0.173439049	0	0.008259002	0	0	0
Oligosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024777007	0.008259002	0	0	0.152791543	0.053683515	0.082590023	0.024777007
OM190	1.825239511	0.834159234	1.288404361	2.700693756	1.098447308	0.561612157	0.875454245	0.479022134	0.090849025	1.527915428	0.289065081	0.594648167	1.123224315	0.75156921	0.330360093	0.260158573	0.057813016	0.247770069	0.008259002	3.204492897	1.969772052	0.958044268	0.421209118	0.330360093	0.049554014
Omnitrophia	0	0	0	0.024777007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099108028	0.280806079	0	0.004129501	0.008259002	0
Oxyphotobacteria	1.445325405	0	0	5.062768418	0	0.008259002	1.255368352	0	0	1.792203502	0	0	0.479022134	0	0	1.040634291	0.540964651	2.196894615	0.099108028	2.518995705	0.17756855	0.805252725	0.206475058	7.635447638	0.516187645
P9X2b3D02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0	0	0	0.028906508	0	0	0	0	0
Parcubacteria	0.42946812	0.024777007	0	0.10736703	0	0	0.016518005	0	0	0.99933928	0	0.090849025	0.041295012	0.008259002	0	0.132144037	0.305583086	0.512058143	0.140403039	1.234720846	3.398579452	0.152791543	0.582259663	0.206475058	0.049554014
PAUC43f marine benthic group	0	0	0	0.016518005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066072019	0	0.181698051	0	0.012388503	0
Phycisphaerae	0.710274199	0.32210109	0.222993062	1.123224315	0.437727123	0.115626032	0.602907169	1.230591345	0.132144037	0.041295012	1.742649488	0.049554014	0.041295012	3.625702015	0.049554014	0.491410638	0.334489594	0.495540139	0.024777007	0.916749257	0.276676577	0.487281136	0.053683515	0.627684176	0.119755534
Pla3 lineage	0	0	0	0.008259002	0	0	0	0	0	0.330360093	0	0	0.024777007	0	0.008259002	0	0	0	0	0.008259002	0	0.041295012	0	0	0
Pla4 lineage	0.024777007	0	0.033036009	0.189957053	0	0.074331021	0.008259002	0	0	0.090849025	0	0.049554014	0.008259002	0	0.016518005	0	0	0	0	0.020647506	0	0.012388503	0	0.028906508	0
Planctomycetacia	8.14337628	1.717872481	3.2127519	4.707631318	1.990419557	0.470763132	4.253386191	5.632639577	0.941526264	4.236868186	3.625702015	0.982821275	8.176412289	2.238189627	1.337958375	3.237528907	0.920878758	1.775685497	0.049554014	8.506772382	1.701354476	2.056491576	0.388173109	1.49900892	0.334489594
Rhodothermia	0.148662042	0	0.008259002	0.10736703	0	0	0.239511067	0	0	0.305583086	0.066072019	0.132144037	0.090849025	0.049554014	0.041295012	0	0	0.033036009	0.008259002	0.161050545	0.008259002	0.173439049	0.231252065	0.099108028	0.103237529
Saccharimonadia	0.280806079	0	0.066072019	0.099108028	0	0.041295012	0.132144037	0	0.140403039	0.363396102	0.008259002	0.016518005	0.049554014	0	0	0.181698051	0.016518005	0.173439049	0	0.10736703	0.074331021	0.033036009	0.012388503	0	0
saltmarsh clone LCP-67	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0.033036009	0	0	0	0.07020152	0	0.103237529	0
Sericytochromatia	0	0.008259002	0	0	0	0	0	0	0	0	0.008259002	0.008259002	0	0	0	0	0	0.041295012	0	0.033036009	0	0.016518005	0	0.012388503	0
SL56 marine group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0	0	0.119755534	0.293194582	0	0	0	0
Spirochaetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028906508	0	0.066072019	0	0.024777007	0	0	0.012388503	0.090849025	0.012388503
Subgroup 17	0.231252065	0	0	0.355137099	0.008259002	0	0.090849025	0	0	0	0	0	0	0	0	0.206475058	0	0	0	0.326230591	0.004129501	0.082590023	0	0.008259002	0
Subgroup 18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012388503	0	0	0
Subgroup 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033036009	0	0.004129501	0
Subgroup 22	0.016518005	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0.090849025	0	0.206475058	0	0	0
Subgroup 26	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0.07020152	0	0.243640568	0	0	0
Subgroup 6	5.219689462	0.247770069	0.825900231	5.574826561	0.165180046	0.437727123	4.294681203	0.041295012	0.165180046	0	0	0	0.231252065	0.016518005	0.016518005	0.458374628	0	0	0	2.271225636	1.139742319	0.074331021	0.078460522	0	0
Subgroup 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0
Thermoanaerobaculia	0.049554014	0.049554014	0.132144037	0.346878097	0.115626032	0.404691113	0.033036009	0.008259002	0.099108028	0.652461183	0.074331021	0.702015197	0.090849025	0.033036009	0.016518005	0.020647506	0	0.016518005	0	0.222993062	0	0.346878097	0	0.111496531	0
Thermodesulfovibrionia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0.057813016	0	0	0
Thermoleophilia	0.454245127	0	0	0.949785266	0	0.024777007	2.097786587	0	0.090849025	0.099108028	0.008259002	0	0.280806079	0.008259002	0.016518005	0.136273538	0.008259002	0.024777007	0	0.53683515	0.173439049	0.111496531	0.053683515	0.028906508	0.008259002
TK10	0	0	0	0.057813016	0	0	0.024777007	0	0	0	0	0	0	0	0	0	0	0	0	0.045424513	0	0	0	0	0
Unclassified Bacteria	0.041295012	0.033036009	0	0.066072019	0	0	0.057813016	0	0	0	0	0	0.024777007	0	0	0.008259002	0	0.016518005	0	0.152791543	0	0.004129501	0.008259002	0.004129501	0
Unclassified BRC1	0.008259002	0.024777007	0.024777007	0	0.033036009	0.049554014	0	0.016518005	0.016518005	0	0.082590023	0.008259002	0	0	0	0	0	0	0	0.012388503	0	0.008259002	0	0	0
Unclassified FBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024777007	0	0	0	0.008259002	0	0.033036009	0
Unclassified Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0
Unclassified Latescibacteria	0.041295012	0	0	0.148662042	0	0	0.041295012	0	0	0.082590023	0	0.024777007	0	0.024777007	0	0.012388503	0	0.008259002	0	0.412950116	0	0.123885035	0	0.045424513	0
Unclassified Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049554014	0.086719524	0	0	0	0
Unclassified Margulisbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0.020647506	0.045424513	0.004129501	0.099108028	0.012388503	0
Unclassified Marinimicrobia (SAR406 clade)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049554014	0.454245127	0.297324083	0.89197225
Unclassified Omnitrophicaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0.004129501	0	0.004129501	0	0
Unclassified PAUC34f	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0.004129501	0	0.020647506	0.07020152	0.008259002	0.004129501
Unclassified Planctomycetes	0	0	0	0.033036009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020647506	0.041295012	0	0	0.004129501	0
Unclassified Proteobacteria	0.057813016	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0.049554014	0	0.008259002	0.008259002	0.004129501	0	0.012388503	0.012388503
Unclassified Spirochaetes	0	0	0	0	0	0	0.016518005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501	0	0	0	0
Unclassified WPS-2	0	0.090849025	0.049554014	0.008259002	0.008259002	0.057813016	0	0	0	0	0.049554014	0.024777007	0	0.016518005	0	0	0	0	0	0.049554014	0.008259002	0	0	0	0
Unclassified WS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024777007	0	0.041295012	0	0	0
Unclassified Zixibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012388503	0	0	0	0	0
V2072-189E03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0.004129501	0
vadinHA49	0.016518005	0	0.016518005	0.148662042	0.016518005	0.008259002	0.016518005	0	0	0.016518005	0	0.008259002	0	0	0	0	0	0.024777007	0	0.008259002	0.008259002	0.004129501	0.004129501	0	0
Verrucomicrobiae	4.07168814	0.900231252	0.330360093	2.543772712	1.329699372	0.10736703	0.875454245	2.973240833	0.016518005	0.578130162	1.247109349	0.189957053	1.139742319	1.651800463	0.090849025	28.09299637	27.61397423	16.16286753	4.798480344	4.174925669	3.543111992	5.07102742	2.457053188	2.114304592	1.276015857
WWE3	0	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0	0	0	0.012388503	0	0	0.061942517	0.066072019	0.004129501	0	0	0
